qid,ql_ndcg,bm25_ndcg,cos_sim_ndcg
786674,1.0,1.0,1.0
524994,1.0,0.08261099447463494,1.0
1050231,1.0,0.11341747276954095,1.0
1048922,0.5,0.2153382790366969,0.3154648767857289
1050724,0.1949590218937871,0.23981246656813138,0.1790522317510419
1051079,1.0,0.6309297535714573,1.0
1051288,1.0,0.15481238273576992,1.0
1051554,1.0,1.0,1.0
789557,,,
790094,1.0,1.0,1.0
790730,,,
1053557,0.4306765580733929,0.38685280723454163,0.6309297535714573
791628,1.0,0.4306765580733929,1.0
1054661,1.0,0.4306765580733929,1.0
1055213,1.0,1.0,1.0
1055278,0.1737653428714392,0.14529302083924378,0.15643778834207112
1055379,0.5,0.23137821315975948,0.4306765580733929
1006052,0.5,0.10044547661763659,0.5
1055787,1.0,1.0,0.35620718710802235
269505,0.6309297535714573,0.08490646416288428,0.5
7368,0.0,0.0,0.0
1056876,0.23761068996738466,0.4306765580733929,0.2446505421182259
1056988,0.371529997171282,0.2446505421182259,0.35620718710802235
1057190,1.0,0.08860097304437886,1.0
1058162,1.0,0.6309297535714573,1.0
796055,1.0,0.135119077213659,0.6309297535714573
1058290,1.0,1.0,1.0
1058973,0.2626495350371938,0.35620718710802235,0.3154648767857289
1059009,1.0,0.4306765580733929,1.0
1059504,1.0,1.0,1.0
1060013,1.0,1.0,1.0
11927,1.0,0.4306765580733929,0.5
1061031,1.0,0.4306765580733929,1.0
1061181,0.6309297535714573,0.11333541637725375,0.5
13021,0.14006482349398652,0.3154648767857289,0.21810429198553116
13069,0.38685280723454163,0.09420072423378656,0.203795047090507
1061738,0.8154648767857287,0.12110367334688732,1.0
13307,0.3010299956639808,0.12609168068946275,0.25
1062430,0.1912842238918686,0.1737653428714392,0.21030991785715258
1063104,1.0,0.3333333333333335,1.0
1063508,,,
14947,1.0,0.10301462904521941,1.0
277175,0.5,0.08594561701164594,1.0
1063644,1.0,0.17458343004804533,0.35620718710802235
1063968,1.0,1.0,1.0
539807,0.6309297535714573,0.1949590218937871,1.0
277801,1.0,0.09011141021440494,1.0
1064480,0.6309297535714573,0.14088411947314228,0.5
1007728,1.0,0.1069411297181233,1.0
1065712,1.0,0.6309297535714573,1.0
279525,0.23540891336663794,0.08168015178864607,0.3010299956639808
1066227,0.4306765580733929,0.08155799619396475,0.6309297535714573
804881,1.0,1.0,0.201849086582099
804914,1.0,1.0,1.0
527386,1.0,0.082755344441523,0.6309297535714573
543004,0.107696772043397,0.11039974760491589,0.10522078451018047
19767,0.2446505421182259,0.09406296167961159,0.25
1068408,0.22776409535809586,0.09284478746548075,0.1692938075987822
1069348,0.6309297535714573,0.3010299956639808,1.0
571587,0.6309297535714573,0.09218424748303278,0.16260831227163308
1070251,0.35620718710802235,0.3333333333333335,0.5
1070484,1.0,0.5,1.0
1072086,1.0,0.2446505421182259,0.35620718710802235
1072368,0.1771838201355571,0.16427204996205091,0.2153382790366969
810435,1.0,0.2446505421182259,1.0
549230,1.0,0.09183796303591407,1.0
1073580,1.0,0.14285714285714235,1.0
25036,0.20922935038686474,0.1304574268895493,0.22767024869695263
812387,0.3333333333333335,1.0,0.28906482631788766
550444,0.1737653428714392,0.07828929003403573,0.1529248683028328
288884,1.0,0.17458343004804533,1.0
551157,0.09587579390863606,0.1218832748742642,0.09941005638034994
1075656,0.4306765580733929,0.38685280723454163,0.38685280723454163
552730,0.4306765580733929,0.2153382790366969,0.5
553056,1.0,0.21274605355336274,1.0
1097139,1.0,0.5,1.0
29244,0.10552508905489086,0.12166680820698872,0.10034333188799849
291442,0.5,0.08393478673337995,0.6309297535714573
1097156,0.6309297535714573,0.08741387964050773,0.5
1078183,1.0,0.15442266280111028,0.4306765580733929
816064,1.0,0.5,1.0
553938,0.21030991785715258,0.073657411864815,0.1999999999999993
29752,1.0,1.0,0.6309297535714573
1078853,1.0,0.14863433757183486,1.0
1079638,0.5,0.10359640114359081,0.5
555563,,,
1010123,1.0,0.0857240637645873,1.0
1080175,0.6309297535714573,0.6309297535714573,0.18208790046993784
818127,1.0,0.08847938527486576,1.0
294027,0.15256487060116086,0.14404003034216828,0.16666666666666607
1080725,0.35620718710802235,0.09700883887077794,0.4306765580733929
818847,1.0,0.09985999159522407,0.6309297535714573
1097747,0.5,0.09745715252120135,1.0
295457,1.0,0.15686177485943986,1.0
1081969,0.4306765580733929,0.3154648767857289,0.6309297535714573
1082306,0.4306765580733929,0.10838449216279855,0.3154648767857289
1082504,1.0,0.4306765580733929,1.0
1082547,0.2446505421182259,0.09278092817314132,0.2559580248098152
1082895,0.38685280723454163,0.08433691826263612,1.0
1083449,1.0,0.12725915227080264,0.14355885269113244
1083497,0.5,0.08375504547103674,0.38685280723454163
1083705,1.0,0.08891934455766659,0.6309297535714573
1084078,1.0,0.08220154770651789,1.0
1084575,0.2153382790366969,0.2702381544273198,0.16485085672216115
1084769,0.1554099770863253,0.07317785717532388,0.1654425539190587
1085199,1.0,0.07895704807515358,1.0
1085742,1.0,0.08659975662015995,1.0
1085819,1.0,1.0,1.0
1086484,1.0,1.0,1.0
1086676,0.5,0.12508828986587162,0.38685280723454163
1086815,1.0,0.4306765580733929,1.0
1086868,1.0,0.10288712782488574,1.0
1086878,,,
1086903,0.6309297535714573,0.16104477175644405,0.23540891336663794
825852,1.0,1.0,0.4306765580733929
1088035,1.0,0.2559580248098152,1.0
1088585,1.0,0.1447829506139584,0.6309297535714573
1088772,1.0,0.10382946904789492,0.6309297535714573
1088837,0.6309297535714573,0.4306765580733929,1.0
1089354,1.0,0.1949590218937871,1.0
1089380,1.0,0.08380933164380622,1.0
1089587,1.0,0.11952683322395075,1.0
1089702,1.0,0.16666666666666607,0.6309297535714573
1090063,1.0,0.12316877176995433,1.0
749707,1.0,0.11178875171439984,1.0
1090582,1.0,0.17458343004804533,1.0
1090661,1.0,0.14240211088697308,1.0
1092067,1.0,1.0,1.0
1092078,0.5,0.16104477175644405,0.6309297535714573
1092227,1.0,0.1315804563506333,1.0
1092456,1.0,1.0,0.6309297535714573
1092502,1.0,1.0,1.0
830551,1.0,0.5,1.0
1092715,1.0,0.09449042608554237,1.0
568638,1.0,0.1879018247091082,0.2702381544273198
1092945,1.0,0.6309297535714573,1.0
1092958,0.3333333333333335,0.08358422679873456,0.20584683246043411
568920,0.3154648767857289,0.08872881952356693,0.4306765580733929
1093230,1.0,0.3333333333333335,1.0
